,Unnamed: 0,Review,Ratings
0,0,Think twice before going for it,2
1,1,Overpriced,2
2,2,Build quality is not as good as shown in the Ad,3
3,3,Speed and Visuals makes this a power machine!,3
4,4,Overpriced and unreliable,3
5,5,Extremely light weight but quite flimsy and poor speaker and camera,1
6,6,Poor Servicing Experience (Do Not Buy),1
7,7,Great laptop packed with features.,5
8,8,Best light weight laptop and sturdy,5
9,9,Good light weight laptop for business and travel,5
10,10,A detailed observation of this laptop in ny opinion and some review ..,5
11,11,Satisfied!,5
12,12,Best price for the given specs,5
13,13,Great Laptop which is Made In Japan known for its super quality and craftsmanship,5
14,14,Wonderful product,5
15,15,Awesome product,5
16,16,Very light and great looks,5
19,19,As light as college 3 notebook.,5
20,20,Good but need to find service center near location,5
21,21,Super machine,5
23,23,compact and light weight for everyday use,4
24,24,A Perfect Laptop &amp; that to Made In Japan which is rare to find in India,4
25,25,Awesome laptop with horrible speakers,4
26,26,weight,4
27,27,Issue with system heating,3
28,28,WORST PRODUCT. PLEASE DO NOT BUY ACER PRODUCTS AT ALL. A HUMBLE REQUEST.,1
29,29,screen problem,1
30,30,Laptop receive dead on arrival,1
31,31,"Worst laptop, I had.",1
32,32,ACER ASPIRE LAPTOP,5
33,33,Just go with it.,5
35,35,"Cloud storage , memory card slot, smart lock not there , battery not great",2
36,36,Overheating problem,2
37,37,Is not good,2
38,38,Incompatibility with some printers,3
39,39,There are better options,3
40,40,Only useful for kids,3
41,41,Value for money.,3
42,42,Bad resolution but not that bad considering the price.,3
43,43,very poor display/screen quality and definitely expensive. not recommended buying.,3
44,44,Cannot activate Microsoft Office,3
45,45,Good but could have a better option for external memory,3
46,46,No slot for the memory card as advertised by Amazon,1
47,47,HP service is worst,1
48,48,Pathetic,1
49,49,Chromebook is not powering on after 20 days of use,1
50,50,"No slot for micro SD,",1
51,51,It’s not original,1
52,52,Aboslute Rubbish. Please read this review fully before buying any HP product,1
53,53,Worse product.,1
54,54,"Exceptional performance, though a bit pricey",5
55,55,Super Product &amp; Concept,5
56,56,This product is worth it.,5
57,57,Everythinga regular user could ask for,5
58,58,Pleasantly surprised by the product!,5
59,59,"Best serve my purpose.. ie online class,  videoes, word, excell...",5
60,60,Happy and pleasent experience in 4 days usages,5
61,61,Really good value for money,5
62,62,Excellent,5
63,63,Chromebook for your needs,5
66,66,Build quality,5
67,67,Just so perfect...fits the bill...!,5
68,68,Good for elders,5
69,69,Value for money..,5
71,71,WAIT....,4
72,72,Premium Design,4
73,73,Does all that's it's intended do !,4
74,74,Excellent!,4
75,75,Nice,4
76,76,Nice,4
77,77,It's cute but uhm -,4
78,78,Laptop bag missing,2
79,79,Keyboard is defective,2
80,80,Okayish,2
81,81,Keys not working,2
82,82,For basic use also it is not supporting,2
83,83,Important information,2
84,84,Accessories not available in box,3
85,85,window 10 not installed in new laptop why?,3
86,86,"Disappointed me was, no reply from customer care",3
87,87,It just a replacement for Tab and Mobile,3
88,88,Good Laptop but customer fleeced due to overcharging by seller,3
89,89,Display are not good,3
90,90,Quite good,3
91,91,The speakers has too low sound. warranty wasn’t working with the Lenovo service,3
92,92,Value for money,3
93,93,Customer care is not attend call properly,3
96,96,Best lap,3
97,97,Display is 720p max and not FHD.,3
98,98,It's ok,3
99,99,Average,3
101,101,Dont Buy,1
102,102,Wated money where cant use the ear plug,1
103,103,Please dont buy message from a customer,1
104,104,Glitches after 20 days,1
105,105,After one month using the product very slow and total waste... Don't by please,1
106,106,Laptop had issues,1
107,107,Worst experience,1
108,108,Not working,1
109,109,Poor Battery,1
110,110,Worst product,1
113,113,Worst laptop,1
114,114,Very Low Quality Product,1
115,115,NOT WORKING WITH IN SHORT MONTHS,1
116,116,Never buy lenovo,1
117,117,Should be under 22K,1
118,118,Very bad laptop,1
120,120,Battery capacity nice 🔥 audio dolbi 2.0 nice speaker,5
121,121,Awesome Product @ affordable price,5
122,122,Nice buy under budget,5
123,123,Good for online classes,5
124,124,goods for online class,5
125,125,Suprb product don't think about about reviews just buy it,5
126,126,Value for Money,5
127,127,Good for online classes!!!Worth money,5
128,128,Must buy,5
129,129,Awesome,5
132,132,Cheap and best for online classes,5
133,133,Best for online as school,5
134,134,Good laptop,5
135,135,Must buy,5
136,136,Perfect for school from home.,5
137,137,Stable perfomance. Its very suitable for online classes.,5
138,138,Nce product,5
139,139,Worth buying,5
140,140,Review,5
141,141,Osam,5
144,144,Superb,5
145,145,Value for money,5
146,146,Good,5
147,147,Nice,5
148,148,Didn’t have any problem and serving purpose,5
149,149,Whether compatible for my purpose,5
150,150,Excellent product and value for money too,5
151,151,Nice product,5
152,152,Its function,5
153,153,Excellent,5
156,156,Good one,5
157,157,Awesome!,5
158,158,superb,5
159,159,Lovely product.,5
160,160,Good,5
161,161,Nice,5
162,162,Nice battery backup,5
163,163,best,5
164,164,Light weight,5
165,165,Good laptop for basic needs,5
168,168,It worth it,5
169,169,Happy,5
171,171,Performance,4
172,172,okay not bad,4
173,173,Good for coding,4
174,174,Md Amjad,4
175,175,Value for Money,4
176,176,Value for MONEY,4
177,177,Good Laptop for beginers and Students,4
178,178,Good,4
179,179,Very nice product,4
180,180,Lenovo,4
183,183,Excellent laptop for student,4
184,184,Not bad,4
185,185,Good.,4
186,186,The device I ordered and got is a default one,4
187,187,Good product,4
188,188,It's good product,4
189,189,Good Product,4
191,191,.,2
192,192,"Slow , very slow",2
193,193,Average,2
194,194,Worth it in this price range,2
